VARIABLES = "t_hat"
  "Max_u"
  "Max_p"
  "Max_Mach"
  "Max_omega_z"
  "Min_omega_z"
  "Max_nu_t"
  "delta_omega_0"
  "delta_theta_0"
  "Min_p"
  "Max_dudy"
  "Max_uv"
  "Max_TKE"
  "Int_TKE"
  "Int_Pk"
  "Int_duidxjtauij"
  "Int_dTKEdt"
  "Min_Q"
  "Max_Q"
  "Int_rhoE"
  "Int_KE1"
ZONE T="Vortex_DNS_Statistics_OpenSBLI"
I=301
2.0000000000000001e-04 4.9999999999999895e-01 1.0025856268398783e+00 9.9999999999999548e-02 1.0539252089752661e+02 -4.2919810957020622e-14 3.1745250531424484e-03 1.0000000000000000e+00 1.0000000000000000e+00 9.9845435300737173e-01 1.0029659947954570e+02 -3.3418148080454277e-03 1.2493615842686271e-02 4.2487508981337730e-05 1.1488295139440878e-02 4.3325912128147390e-02 -1.5914225863398036e-04 -2.4136817915251127e+03 2.6355522428497870e+03 1.5652961513109756e+02 4.3585618626984163e-01
2.0000000000000000e-02 5.2003751168736156e-01 1.0081040507581132e+00 1.0396645785775926e-01 1.1519962629518199e+02 -4.6768002619421876e-03 3.3968516536387132e-03 1.0258543502228763e+00 1.0129172280062342e+00 9.9649799306135334e-01 1.0578073548488030e+02 -6.4521991936151522e-03 9.4552168678299787e-03 5.2035726214859290e-05 1.7256699123998595e-01 4.6915150071346765e-02 1.0122507867136442e-01 -2.0641344230162381e+03 1.3441591053806262e+03 1.5652955607801815e+02 4.3583078997656793e-01
4.0000000000000001e-02 5.2725570891226992e-01 1.0074133320215006e+00 1.0541477054437196e-01 9.4070925939637064e+01 -2.8689956505214831e-03 9.4218429714548773e-05 1.0790574946343807e+00 1.0367733569867172e+00 9.9685219724045482e-01 9.0045473381911989e+01 -5.0784404141301894e-03 1.3698795188438435e-02 8.2572640135198058e-05 2.0036534059843017e-01 5.5843552730385403e-02 1.6938373577207141e-01 -6.8064812372202391e+02 8.8406054814656602e+02 1.5652956167630498e+02 4.3581947453247083e-01
5.9999999999999998e-02 5.2457554761436143e-01 1.0069179343453318e+00 1.0487504752222573e-01 8.2047897978000989e+01 -1.7802567551188368e-03 7.3160928908838071e-05 1.1214272934589085e+00 1.0677096653418936e+00 9.9694316092761504e-01 8.0895586045528134e+01 -5.3146490286231519e-03 1.5412330089009491e-02 1.1805315550217295e-04 2.5075471419022977e-01 6.5336927156720612e-02 2.0065956402507418e-01 -4.0156060936587005e+02 5.6672797249565883e+02 1.5652958416491757e+02 4.3580579665915098e-01
8.0000000000000002e-02 5.2317230172166851e-01 1.0067219539372338e+00 1.0459505710148113e-01 7.5355565388197945e+01 -1.1539442030791029e-03 8.5696313493114972e-05 1.1959760165202653e+00 1.1091977188448181e+00 9.9712195931678849e-01 7.3973901522404361e+01 -6.5585430968180631e-03 1.8004227379180067e-02 1.6410597742687588e-04 3.2828723149855338e-01 7.7220403155804376e-02 2.6149376023516152e-01 -2.6947775368566317e+02 4.4813335877241843e+02 1.5652959452212642e+02 4.3579050940044012e-01
1.0000000000000001e-01 5.2527225976933656e-01 1.0063915526729101e+00 1.0499473483992108e-01 6.8900072565065614e+01 -8.0805661095985403e-04 1.3857841920288395e-04 1.2771760001291892e+00 1.1625991626632945e+00 9.9729702883319027e-01 6.7976384551602479e+01 -7.6799927097228275e-03 2.1090135188471221e-02 2.2271947088810400e-04 4.1220838414184185e-01 9.5191756971461816e-02 3.2181913681993451e-01 -2.9127817210383665e+02 4.1847782927001856e+02 1.5652959674168179e+02 4.3576976022515951e-01
1.2000000000000000e-01 5.2910421829677912e-01 1.0059422109867548e+00 1.0573529649404341e-01 6.4077750343468310e+01 -5.7731230439038200e-04 1.4766044789913665e-04 1.3675789906027498e+00 1.2279095490558924e+00 9.9742761186182272e-01 6.2582803402219241e+01 -8.8828688874361041e-03 2.4580102765627221e-02 2.9231813865825812e-04 4.9677173029751059e-01 1.1904771363234122e-01 3.7327455576970575e-01 -2.8826620821427395e+02 3.9808873160693611e+02 1.5652959823786165e+02 4.3574066311197240e-01
1.4000000000000001e-01 5.3242043772834458e-01 1.0054168558515220e+00 1.0638572519493686e-01 5.9770809585997476e+01 -4.7389974450517437e-04 1.8026332669574853e-04 1.4674761073152418e+00 1.3057645410509859e+00 9.9756350442168362e-01 5.8031873722020499e+01 -1.0153684558852332e-02 2.8055974064041578e-02 3.7138451698538814e-04 5.8478961034998367e-01 1.4803547093122699e-01 4.1610426463304745e-01 -2.6278627050323644e+02 4.2352855791511547e+02 1.5652960595580737e+02 4.3570735241556136e-01
1.6000000000000000e-01 5.3182038913527996e-01 1.0049132582600249e+00 1.0624974012256690e-01 5.5544714724471483e+01 -3.9499288589571712e-04 1.6543791324216621e-04 1.5800139329212832e+00 1.3965041050544671e+00 9.9766067500738975e-01 5.3903710206640923e+01 -1.1346980285476590e-02 3.1331143828395629e-02 4.5756741235785503e-04 6.6496887616568379e-01 1.8213323690869632e-01 4.4099919520632486e-01 -2.5543531286511424e+02 4.4150799015156235e+02 1.5652961595107263e+02 4.3566422983965208e-01
1.7999999999999999e-01 5.3075030731203865e-01 1.0044932419404737e+00 1.0603818564253524e-01 5.1690336865669174e+01 -4.5399250580926680e-03 1.9841406461790418e-04 1.7026021715066852e+00 1.4983245445345830e+00 9.9768145472376979e-01 5.0414430690968409e+01 -1.2539913468928382e-02 3.4150546459280548e-02 5.4606342536556423e-04 7.2613788478063279e-01 2.2055196742069857e-01 4.3863144904318735e-01 -2.7373692985941898e+02 4.8699648642612311e+02 1.5652959176133197e+02 4.3560874508744279e-01
2.0000000000000001e-01 5.3458750095184493e-01 1.0040183921222823e+00 1.0677840471408193e-01 4.9010166599710864e+01 -3.7194058841869077e-02 2.2916471190729146e-04 1.8294716381415175e+00 1.6076615027230312e+00 9.9763196253142494e-01 4.7574690349514540e+01 -1.3095824730712005e-02 3.6557621969798761e-02 6.3135133720448834e-04 7.6667627777989777e-01 2.6058496380082491e-01 4.1012397046530130e-01 -2.9519828200905039e+02 4.8659328024315772e+02 1.5652952474445408e+02 4.3553848598370609e-01
2.2000000000000003e-01 5.4168094240831910e-01 1.0036180183811731e+00 1.0807477115381128e-01 4.6471250696281970e+01 -6.7394982453318639e-02 2.5760018555188411e-04 1.9602338151352188e+00 1.7214292329885701e+00 9.9767063298822178e-01 4.4790425217130874e+01 -1.3320612070052895e-02 3.7695075238994284e-02 7.0894043805480621e-04 7.8727526295237393e-01 2.9852206471824255e-01 3.6346320620590550e-01 -3.2515448863577700e+02 5.0517899507024077e+02 1.5652946417362205e+02 4.3545575230906253e-01
2.3999999999999999e-01 5.4621006394233074e-01 1.0032244267891677e+00 1.0895744214136072e-01 4.4528384216913764e+01 -8.7789786101250128e-02 2.8152239452311912e-04 2.0918243459826793e+00 1.8385240984724671e+00 9.9783018194198114e-01 4.2688126014180860e+01 -1.3554022944741445e-02 3.8246257223376892e-02 7.7628598475506659e-04 7.9264949050921363e-01 3.3083643164298993e-01 3.1012232619096647e-01 -3.2988301027447307e+02 4.8961115007872820e+02 1.5652943019642021e+02 4.3536367616611571e-01
2.6000000000000001e-01 5.4807476885430761e-01 1.0028936548250078e+00 1.0938432404241319e-01 4.2037903527576049e+01 -1.4342892065109186e-01 3.0749147629338669e-04 2.2230933308734140e+00 1.9586965962238607e+00 9.9773736691473791e-01 4.0193041348060362e+01 -1.3487017268564726e-02 3.8695566585062437e-02 8.3322891087601490e-04 7.8838507198116503e-01 3.5520872959803995e-01 2.6103795998060508e-01 -3.5512632755249405e+02 4.7664856559186120e+02 1.5652940914901271e+02 4.3526082795261650e-01
2.8000000000000003e-01 5.5046176260479629e-01 1.0027872239664282e+00 1.0991925425548787e-01 3.9917553456226912e+01 -1.2296809531588317e-01 6.0187559969632697e-04 2.3647242829554034e+00 2.0813320060045140e+00 9.9764990677758136e-01 3.7963417428561627e+01 -1.3276058108971315e-02 3.8601547663627243e-02 8.8136553691583975e-04 7.7924642860092175e-01 3.7112361001578220e-01 2.2266415549422952e-01 -3.0805001660761434e+02 4.9964859925333388e+02 1.5652938374462605e+02 4.3515053996699321e-01
2.9999999999999999e-01 5.5437902805963291e-01 1.0026782654152222e+00 1.1069168199021498e-01 3.8754706258871416e+01 -1.6508534005792669e-01 3.9126897432046579e-04 2.5048370523005667e+00 2.2057940460861509e+00 9.9754326929910098e-01 3.6520155908509309e+01 -1.3179133318661999e-02 3.8379016706566113e-02 9.2308575138753859e-04 7.6774783929181423e-01 3.7953285755787142e-01 1.9664704507906283e-01 -3.3126593007340841e+02 4.5424861617975034e+02 1.5652935225180136e+02 4.3503501115277993e-01
3.2000000000000001e-01 5.5912161010343331e-01 1.0028723692591079e+00 1.1166104208937702e-01 3.6689503326368310e+01 -1.5693164834600210e-01 3.9657983792123141e-04 2.6385273640433660e+00 2.3319878278227262e+00 9.9734385666783953e-01 3.4704949091926494e+01 -1.3090505630907001e-02 3.7954035950807076e-02 9.6074673566110393e-04 7.5577495654877291e-01 3.8220283721540299e-01 1.8165381031386485e-01 -3.1313564811407588e+02 4.5094818802218288e+02 1.5652932246315282e+02 4.3491767402095960e-01
3.3999999999999997e-01 5.6364941750262831e-01 1.0028651075158481e+00 1.1260116121123476e-01 3.5987783869161106e+01 -1.4785854509454419e-01 3.7130654100321441e-04 2.7785137085385827e+00 2.4605945521740606e+00 9.9744526273812162e-01 3.3354002540213742e+01 -1.2950069200994053e-02 3.7503864671432754e-02 9.9632559264837910e-04 7.4486135281986887e-01 3.8113133923132497e-01 1.7545249386384662e-01 -3.0217920925857527e+02 4.0365747838051618e+02 1.5652929742503136e+02 4.3480210668107638e-01
3.5999999999999999e-01 5.6807821047777951e-01 1.0029295191836813e+00 1.1340265395794513e-01 3.4518396467304484e+01 -1.8759543093843192e-01 3.8951646180605717e-04 2.9190841191707881e+00 2.5926766624015287e+00 9.9736883256518194e-01 3.2216191620076366e+01 -1.2971651290940422e-02 3.6970424812867123e-02 1.0313151222492887e-03 7.3558472851641654e-01 3.7806815573879365e-01 1.7508083218894646e-01 -2.7277041363947944e+02 3.7932501490795875e+02 1.5652925745174085e+02 4.3468789249475909e-01
3.8000000000000000e-01 5.7406751191108607e-01 1.0038185371013251e+00 1.1455262703815552e-01 3.3334254873491361e+01 -1.6275343808513573e-01 4.0853661335565688e-04 3.0625540271860414e+00 2.7285615444902538e+00 9.9702487851622934e-01 3.0912826437102154e+01 -1.2797339464264184e-02 3.6575425839676053e-02 1.0665468588197848e-03 7.2730575971558042e-01 3.7429526855571937e-01 1.7735329844175063e-01 -2.9178965610582458e+02 3.6467962223564416e+02 1.5652919444308191e+02 4.3457229025368349e-01
